scientific_name,date,longitude,latitude,quality_grade
Magicicada,2021-04-27,-86.5295116667,39.1557695,needs_id
Magicicada,2021-04-19,-84.415430116,39.0893572208,research
Magicicada,2021-04-13,-75.4531953108,40.2911190723,research
Magicicada,2021-04-09,-85.5502570215,39.9107180889,research
Magicicada,2021-04-25,-77.1655029841,38.860980189,research
Magicicada,2021-04-27,-82.9167555556,40.3651,research
Magicicada,2021-04-24,-77.138784,38.872667,research
Magicicada,2021-04-30,-77.1172,39.0354,research
Magicicada,2021-04-30,-77.1172,39.0354,research
Magicicada,2021-04-30,-77.1172,39.0354,research
Magicicada,2021-04-30,-77.0571080746,38.6831859217,research
Magicicada,2021-04-30,-77.0882841566,38.9013098412,research
Magicicada,2021-04-30,-77.2792966667,38.91698,research
Magicicada,2021-05-01,-77.351877,38.974865,research
Magicicada,2021-04-18,-76.6418762207,39.426410675,research
Magicicada,2021-04-29,-76.6001520547,39.2419169697,research
Magicicada,2021-04-26,-84.3929801333,39.1502433761,research
Magicicada,2021-04-19,-85.2715916667,39.6278616667,needs_id
Magicicada,2021-04-22,-86.3757466667,39.0695695,research
Magicicada,2021-04-30,-77.1893879212,38.804693449,research
Magicicada,2021-04-30,-77.0301213485,38.9945202211,research
Magicicada,2021-05-01,-77.351842,38.9747879722,research
Magicicada,2021-05-01,-77.3518409722,38.9748459722,research
Magicicada septendecim,2021-04-30,-83.9555457685,34.5058964747,research
Magicicada septendecim,2021-04-30,-84.1139526367,34.5633506775,research
Magicicada,2021-04-25,-77.521125,38.99313,research
Magicicada,2021-04-28,-76.614924,39.3630769722,research
Magicicada,2021-04-26,-76.8755282,39.0045544,research
Magicicada,2021-04-16,-76.8755282,39.0045544,research
Magicicada,2021-04-30,-75.4202944444,40.3383861111,research
Magicicada,2021-04-17,-77.0412647931,38.9839258697,research
Magicicada,2021-04-30,-75.4218794472,40.3377798538,research
Magicicada,2021-04-30,-84.9263383333,39.8106,research
Magicicada,2021-04-30,-77.1775837778,38.8575959722,research
Magicicada,2021-04-30,-87.833702825,41.8415470941,research
Magicicada,2021-04-30,-77.12625,39.0870028333,research
Magicicada,2021-04-30,-77.1258861667,39.0872166667,research
Magicicada,2021-04-30,-76.8006283333,39.1958666667,research
Magicicada,2021-04-30,-76.8006283333,39.1958666667,research
Magicicada,2021-04-30,-76.8006283333,39.1958716667,research
Magicicada,2021-05-01,-81.5727466667,34.1102916725,research
Magicicada,2021-04-30,-83.7302644118,42.3038548804,research
Magicicada,2021-04-30,-83.7300283286,42.3048800073,research
Magicicada,2021-04-30,-78.935379535,36.0830232006,research
Magicicada,2021-04-29,-77.0516281128,39.0199623108,research
Magicicada,2021-04-30,-86.4869239722,39.5168666389,research
Magicicada,2021-04-30,-83.8856116667,35.9529883333,research
Magicicada,2021-04-30,-76.8733465299,39.2052925529,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1189320551,39.0355585514,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1199624081,39.0359304769,research
Magicicada,2021-04-30,-77.1203198306,39.0361434941,research
Magicicada,2021-04-30,-77.1203198306,39.0361434941,research
Magicicada,2021-04-30,-77.1203198306,39.0361434941,research
